code	english	definition	translation
10166	physical environment	"The material surroundings of a system, process or organism."	fiziki mühit
10170	alluvial plain	"A level or gently sloping tract or a slightly undulating land surface produced by extensive deposition of alluvium, usually adjacent to a river that periodically overflows its banks; it may be situated on a flood plain, a delta, or an alluvial fan."	allüvial düzənlik
10175	barrier reef	"An elongated accumulation of coral lying at low-tide level parallel to the coast but separated from it by a wide and deep lagoon or strait. The coral is thought to have formed initially on a flat surface: then as the sea-level rose in post-glacial times, thereby submerging the irregular wave-cut platform, the coral growth kept pace with the rising ocean level, so creating the great thickness witnessed today in such places as the Great Barrier Reef off the East coast of Queensland, Australia. This stretches for more than 1900 km and varies in width from about 30 km to 150 km."	qaya rifi 
10176	relief (land)	"The physical shape, configuration or general unevenness of a part of the Earth's surface, considered with reference to variation of height and slope or to irregularities of the land surface; the elevation or difference in elevation, considered collectively, of a land surface."	yerin relyefi
10189	biotope order	An ordinance or decree regarding an area of ecological habitat that is characterized by a high degree of uniformity in its environmental conditions and in its distribution of plants and animals.	biotop məsələləri üzrə qanunvericilik aktı
10190	sensitive natural area	Terrestrial or aquatic area or other fragile natural setting with unique or highly-valued environmental features.	ekoloji cəhətdən qeyri-sabit təbii zona
10191	environmental analysis	No definition needed.	ekoloji analiz
10193	abiotic environment	"The non-living components of the environment (rocks, minerals, soil, water and climate)."	abiotik mühit
10194	aquatic environment	"Waters, including wetlands, that serve as habitat for interrelated and interacting communities and populations of plants and animals."	su mühiti
10197	sensitive environment	"Any parcel of land, large or small, under public or private control, that already has, or with remedial action could achieve, desirable environmental attributes. These attributes contribute to the retention and/or creation of wildlife habitat, soils stability, water retention or recharge, vegetative cover, and similar vital ecological functions. Environmentally sensitive areas range in size from small patches to extensive landscape features. They can include rare or common habitats, plants and animals."	qeyri-sabit mühit
10198	terrestrial environment	The continental as distinct from the marine and atmospheric environments. It is the environment in which terrestrial organisms live.	quraqliğın təbii mühiti
10199	marine park	A permanent reservation on the seabed for the conservation of species.	dəniz parkı
10200	regional natural park	A park operated and managed by a region.	təbii bölgə parkı
10201	reserve	"Any area of land or water that has been set aside for a special purpose, often to prevent or reduce harm to its wildlife and ecosystems."	"qoruq, yasaqlıq"
10202	state biological reserve	An area of land and/or of water designated as having protected status for purposes of preserving certain biological features. Reserves are managed primarily to safeguard these features and provide opportunities for research into the problems underlying the management of natural sites and of vegetation and animal populations. Regulations are normally imposed controlling public access and disturbance.	dövlət bioloji qoruğu
10203	forest biological reserve	"Forest areas which are protected and guarded from deforestation because of the fragility of its ecosystems, and because they provide habitats for hundreds of species of plants and animals."	meşə bioloji qoruğu
10208	voluntary natural reserve	"Area of national interest which is protected under the responsibility of its owner in order to safeguard wildlife, archeological and geological sites."	özəl təbiət qoruğu
10210	central park area	The core area of a park or of a reserve where there can be no interference with the natural ecosystem.	təbii parkın mərkəzi hissəsi
10212	protected marine zone	Sea area where marine wildlife is protected.	mühafizə olunan dəniz zonası
10214	peripheral park area	"A zone of the park where scientific research is allowed. Beyond this there is a buffer zone which protects the whole reserve from agricultural, industrial and urban development."	təbiət qoruğunun periferik hissəsi 
10215	alignment	"The selection and detailed layout of public transport routes in the light of construction, operation, service, technology, and economic criteria."	sıralama
10217	bocage	"The wooded countryside characteristic of northern France, with small irregular-shaped fields and many hedges and copses. In the French language the word bocage refers both to the hedge itself and to a landscape consisting of hedges. Bocage landscapes usually have a slightly rolling landform, and are found mainly in maritime climates. Being a small-scale, enclosed landscape, the bocage offers much variations in biotopes, with habitats for birds, small mammals, amphibians, reptiles and butterflies."	bokaj
10225	French formal garden	No definition needed.	fransız bağçası
10228	English garden	"A plot of ground consisting of an orderly and balanced arrangement of masses of flowers, shrubs and trees, following British traditions or style."	ingilis bağçası
10229	terraced garden	No definition needed.	terras bağça
10233	terraced landscape	Landscape resulting from the method of cultivating land by cutting terraces or benches into slopes to create areas of flat land. The practice is common in mountainous areas where land is scarce and rainfall uncertain.	terraslanmış landşaft
10236	mountain protection		dağların mühafizəsi
10237	site protection	"Precautionary actions, procedures or installations undertaken to prevent or reduce harm to the environmental integrity of a physical area or location."	konkret rayonunun ətraf mühitin mühafizəsi
10238	coast protection	"A form of environmental management designed to allay the progressive degradation of the land by coastal erosion processes. Sea defence works can be undertaken to protect the land from erosion and encroachment by the sea and against flooding. These involve engineering solutions such as groynes, sea walls, bulkheads, revetments and breakwaters."	sahilyanı rayonlarının mühafizəsi
10240	site rehabilitation	The restoration of the ecological quality of an area or location.	konkret rayonunun ətraf mühitinin bərpası
10243	classified site	"Site which is declared protected because of its natural, landscape, artistic or archeological features in order to guarantee its conservation, maintenance and restoration."	ətraf mühitin təsnif edilmiş obyektinin mühafizəsi
10244	registered site	"Area which is officially registered because of its unique features; a description is provided concerning its location, size, latitude, longitude, orientation, elevation, boundaries, wildlife, hydrological and soil characteristics, etc."	ətraf mühitin qeydə alınmış obyektinin mühafizəsi
10251	urban ecology charter	"A graphic representation of a city area or other densely populated region, portraying the location of groups or select types of people in their environment through various geographic techniques."	şəhər ekologiyasının qrafik təsviri
10255	environmental citizenship	"The state, character or behavior of a person viewed as a member of the ecosystem with attendant rights and responsibilities, especially the responsibility to maintain ecological integrity and the right to exist in a healthy environment."	ekoloji cəhətdən məsuliyyətli vətəndaş mövqeyi
10256	integrated management	"Unified, combined and coordinated management of environmental problems which correlates relevant organisations, groups, individuals and disciplines by bringing the parts together for a complete approach."	inteqrasiya olunmuş menecment
10260	sponsorship	"A person, firm, organization, etc. that provides or pledges money for an undertaking or event."	sponsorluq
10263	municipal environment plan	A formulated or systematic method for the management of a city or town's natural or ecological resources.	ətraf mühitin qorunmasının şəhər planı
10274	public awareness campaign	"An organized, systematic effort through various communications media to alert the general population of a given area to anything of significant interest or concern."	ictimaiyyətə xəbərdarlıq üzrə informasiya kampaniyası
10305	migratory fish	"Fishes that migrate in a body, often between breeding places and winter feeding grounds."	köçəri balıq
10381	felid	"Predatory mammal, including cats, lions, leopards, tigers, jaguars, and cheetahs, typically having a round head and retractile claws."	pişikkimilər
10421	marine mammal	"Mammals which have adapted to live in the sea, such as whales, dolphins, porpoises, etc."	dəniz məməliləri
10444	ovine	"Horned ruminant mammals raised in many breeds for wool, edible flesh, or skin."	qoyunlar
10495	shelter	"Cover or protection, as from weather or danger; place of refuge."	sığınacaq
10496	nesting area	A place where birds gather to lay eggs.	yuva salma rayonu
10510	animal corridor	"Line corridors (roads, paths, and hedgerows) which lack interior habitat but may serve as movement groups for organisms. Corridors may also provide an efficient migratory pathway for animals. The presence or absence of breaks in a corridor may be a very important factor in determining the effectiveness of its conduit and barrier functions."	"heyvanlar üçün ""koridorlar"""
10511	animal damage	"Harm caused to the environment by animals as, for instance, in the case of overgrazing, trampling, etc. Overgrazing damage is reduced by properly located watering facilities to decrease daily travel by livestock. Rotation of grazing areas allows time for recovery of grass. Some land can be easily restored if grazing is allowed only during one season. Animals may cause damage to crops when agriculture land borders on virgin territory or game reserves. In addition wild animals may bring disease in valuable domestic herds. Cattle overstocking has caused serious degradation of habitat, and cattle raising is thus, to some extent, counterproductive."	heyvanların vurduğu ziyan
10512	animal displacement	"The habit of many animal species of moving inside their habitats or of travelling, during migrations, to different biotopes, often considerable distances apart; in aquatic environments displacements can occur horizontally or vertically while in terrestrial environments animal populations that breed in the alpine or subalpine zones in summer, move to lower levels in winter; animal displacements usually follow circadian rhythms and are related to the necessity of finding breeding, resting and feeding areas."	heyvanların köçürülməsi
10521	spawning ground	Area of water where fish come each year to produce their eggs.	balıqların kürüləmə yeri
10523	animal habitat	"The locality in which an animal naturally grows or lives. It can be either the geographical area over which it extends, or the particular station in which an animal is found."	heyvanların təbii yaşayış mühiti
10535	nesting	The building of nests for egg laying and rearing of offspring.	yuvasalma
10539	animal population	A group of animals inhabiting a given area.	heyvan populyasiyası
10548	animal reproduction	"Any of various processes, either sexual or asexual, by which an animal produces one or more individuals similar to itself."	heyvan reproduksiyası
10554	survival	The act or fact of surviving or condition of having survived.	sag qalma
10562	endemic species	"Species native to, and restricted to, a particular geographical region."	endemik növlər
10568	broad-leaved tree	"Deciduous tree which has wide leaves, as opposed to the needles on conifers."	iriyarpaqlı ağac
10574	sea grass bed	"Seaweeds communities formed by green, brown and red macroscopic algae and by sea phanerogams such as Posidonia oceanica and Zostera noltii, etc."	yosunlar
10575	macrophyte	"A large macroscopic plant, used especially of aquatic forms such as kelp (variety of large brown seaweed which is a source of iodine and potash)."	makrofit
10593	riverside vegetation	Plants growing in areas adjacent to rivers and streams.	sahilyanı bitkilər
10605	chestnut	"Any north temperate fagaceous tree of the genus Castanea, such as Castanea sativa, which produce flowers in long catkins and nuts in a prickly bur."	şabalıd
10612	graminaceous plant	"A very large family of plants including cereals such as wheat, maize, etc."	ot bitkiləri
10617	posidonia	"Plant with elongated, planar, green leaves which measure up to 1,5 m. The flowers come out in the autumn but not every year. The fruits are dark balls, which one often finds washed up on beaches after storms. The same happens with the leaves which wilt and separate from the plant at the end of summer. It grows on sandy substrates, and has a rhizome from which several plants grow. The compact form of its growths retains the sediments pulled by the currents along the sea bed. Neptunegrass forms extensive prairies, always on the continental shelf. The plant's presence, apart from constituting an excellent refuge and food reserve for many species, gives an indication of the maturity and good condition of the whole marine ecosystem."	"Najadales, posidoniya"
10626	vegetation level	A subdivision of vegetation characteristic of a certain altitude above sea level at a given latitude.	zona bitkisi
10633	plant population	The number of plants in an area.	bitkilərin populasiyası
10640	arboretum	"Collection of trees from different parts of the world, grown for scientific study."	botanika bağı
10644	chorology	The study of the causal relations between geographical phenomena occurring within a particular region.	xorologiya
10646	variety collection	"Assemblage of cultivated plants that are distinguished by any characteristics (morphology, physiology, etc.) significant for purposes of horticulture, agriculture or forestry."	növlərin kolleksiyası
10651	animal conservatory	Areas for the conservation of rare or endangered animal species.	heyvanlar qoruğu
10652	botanical conservatory	Gardens for the conservation of rare species of plants.	botanika qoruğu
10660	introduction of animal species	"Animals which have been translocated by human agency into lands or waters where they have not lived previously, at least during historic times. Such translocation of species always involves an element of risk if not of serious danger. Newly arrived species, depending on their interspecific relationships and characteristics, may act as or carry parasites or diseases, prey upon native organisms, display toxic reactions, or be highly competitive with or otherwise adversely affect native species and communities."	heyvan növlərinin köçürülməsi 
10661	introduction of plant species	"Plants which have been translocated by human agency into lands or waters where they have not lived previously, at least during historic times. Such translocation of species always involves an element of risk if not of serious danger. Newly arrived species may be highly competitive with or otherwise adversely affect native species and communities. Some may become a nuisance through sheer overabundance. They may become liable to rapid genetic changes in their new environment. Many harmful introductions have been made by persons unqualified to anticipate the often complex ecological interaction which may ensue. On the other hand many plants introduced into modified or degraded environments may be more useful than native species in controlling erosion or in performing other positive functions."	bitki növlərinin köçürülməsi 
10666	animal heritage	"The sum of the earth's or a particular region's non-human, non-vegetable, multicellular organisms viewed as the inheritance of the present generation, especially animal species deemed worthy of preservation and protection from extinction."	heyvanlar aləminin irsi
10667	plant heritage	"The sum of the earth's or a particular region's herb, vegetable, shrub and tree life viewed as the inheritance of the present generation, especially plant species deemed worthy of preservation and protection from extinction."	bitki aləminin irsi
10670	protection of animals		heyvanların mühafizəsi
10671	animal species reintroduction	Attempts made to prevent the extinction of threatened species and populations by reintroducing them in their natural habitat. The reintroduction of species in a region requires a preliminary study to establish the reasons of their disappearance and the modifications that might have occurred in the biotopes.	heyvan növlərinin təkrar köçürülməsi
10672	plant species reintroduction	Reintroducing wild plant species to their natural habitat. The reintroduction of species in a region requires a preliminary study to establish the reasons of their disappearance and the modifications that might have occurred in the biotopes.	bitki növlərinin təkrar köçürülməsi
10683	local afforestation	"The planting of trees in an area, or the management of an area to allow trees to regenerate or colonize naturally, in order to produce a forest."	yerli meşəsalma
10685	windfall	"1) Falling of old trees in a forest caused by a storm or strong wind. It plays an important role in the spontaneous regeneration of forest ecosystems.
2) A plot of land covered with trees blown down by the wind."	tufandan yıxılmış ağaclar
10691	pruning	The cutting off or removal of dead or living parts or branches of a plant to improve shape or growth.	budama
10692	forest exploitation	Forests have been exploited over the centuries as a source of wood and for obtaining land for agricultural use. The mismanagement of forest lands and forest resources has led to a situation where the forest is now in rapid retreat. The main aspects of the situation are: serious shortages in the supply of industrial wood; the catastrophic erosion and floods accompanying the stripping of forests from mountainous land; the acute shortages of fuel wood in much of the developing world; the spread of desert conditions at an alarming rate in the arid and semi-arid regions of the world; and the many environmental effects of the destruction of tropical rainforests.	meşə resurslarının istismarı
10693	mountain forest	An extensive area of woodland that is found at natural elevations usually higher than 2000 feet.	dağ meşəsi
10694	state forest	Forest owned and managed by the State.	dövlətə məxsus meşə
10695	Mediterranean forest	Type of forest found in the Mediterranean area comprising mainly xerophilous evergreen trees.	Aralıq dənizi meşəsi
10696	private forest	No definition needed.	özəl meşə
10698	timber forest	Forest whose trees are all in the adult stage and have reached the reproductive period.	meşə sırası
10699	maquis	"A low evergreen shrub formation, usually found on siliceous soils in the Mediterranean lands where winter rainfall and summer drought are the characteristic climate features. It consists of a profusion of aromatic species, such as lavender, myrtle, oleander and rosemary and often includes abundant spiny shrubs. It has been suggested that the maquis is a secondary vegetation, occupying the lands cleared of their natural evergreen oak forests by human activity."	makvis
10703	dry lawn	No definition needed.	quraq torpaq
10704	nursery garden		heyvan yetişdirmə müəssisəsi
10706	forest protection	"Branch of forestry concerned with the prevention and control of damage to forests arising from the action of people or livestock, of pests and abiotic agents."	meşələrin mühafizəsi
10707	natural regeneration	The replacement by an organism of tissues or organs which have been lost or severely injured.	təbii regenerasiya
10708	resinous plant	Plants yielding or producing resin.	qatrantərkibli bitki
10711	coppice with standards	"A traditional system of woodland management whereby timber trees are grown above a coppiced woodland. It is used in particular as a method of exploiting oakwoods, in which all the trees except a rather open network of tall, well-formed oaks - the standards at about fifty per hectare - are felled, leaving plenty of space for hazels and other underwood to grow and be coppiced at intervals of ten to fifteen years."	kolluğun yetişdirilməsi
10721	game (play)	An amusement or pastime; diversion.	oyun
10726	big game	"Large wild animals that weigh typically more than 30 lb when fully grown, hunted for food, sport or profit."	ov obyekti kimi iri heyvan
10744	shellfish farming	"Raising of shellfish in inland waters, estuaries or coastal waters, for commercial purposes. All commercial shellfish beds producing bivalve molluscs must be monitored for microbial contamination. Samples of water and shellfish flesh must be tested for the presence of algal toxins. Periodic monitoring of fish and shellfish must be carried out to check for the presence of contaminants."	mollyuskların yetişdirilməsi
10753	oyster farming	"There are two types of oyster farming: suspension culture, in which oysters are grown off bottom, in floating trays, is a labor-intensive form of cultivation that requires continuous tending and cleaning of both gear and shellfish, and bottom culture, which is similar to conventional crop farming on land; it involves selecting areas of the sea floor that provide a natural food supply, necessary currents, minimum exposure to predators, and proper temperature and then ""seeding"" the bottom with shellfish stock that are left to grow to market size. Then they are harvested with a bottom drag from a boat. Both suspension culture and bottom culture depend on natural food supplies for growing the shellfish being raised."	dəniz ilbizlərinin yetişdirilməsi
10758	commercial fishery	"Such fisheries belong to one of two groups: one catching demersal (bottom-living) fish, e.g. cod, haddock, plaice, sole; the other catching pelagic (surface-living) fish, e.g. anchovy, tuna, herring."	sənaye balıq ovu
10760	national fishing reserve	Limited portion of a water body belonging to the State where angling is allowed.	milli balıq yasaqlığı
10767	socioeducational activity	Instruction or events designed to offer learning or cultural experiences to populations without access to traditional educational institutions due to social or economic barriers.	ictimai-maarifləndirmə fəaliyyəti
10773	competitive examination	"A test given to a candidate for a certificate or a position and concerned typically with problems to be solved, skills to be demonstrated, or tasks to be performed."	müsabiqə seçimi
10778	continuing education	"Various forms, methods, and processes of formal and informal education for the continued learning of all ages and categories of the general public. Oriented toward the continued learning/developmental processes of the individual throughout life."	fasiləsiz təhsil
10780	initial training	"Any education, instruction or discipline occurring at the beginning of an activity, task, occupation or life span."	ibtidai təhsil
10785	pedagogy	"The principles, practice, or profession of teaching."	pedaqogika
10818	environmental occupation	"Gainful employment or job-related activity pertaining to ecological concerns, including the preservation of natural resources and the integrity of the ecosystem."	ətraf mühit məsələləri ilə bağlı peşə
10833	public function	Activity carried out for the benefit of the community.	ictimai funksiya
10837	organisation of work	The coordination or structuring of work practices and production processes in order to influence the way jobs are designed and performed in the workplace.	işin təşkili
10847	leisure centre	A building containing a swimming pool and a large room or other places where you can play sports.	istirahət və asudə vaxt mərkəzi
10851	community facility	"Buildings, equipment and services provided for a community."	ictimai tikili
10860	cycle path	Part of the road or a special path for the use of people riding bicycles.	velosiped cığırı
10861	ski run	"A trail, slope, or course for skiing."	xizək yolu
10884	touristic route	"An established or selected course for travel consisting, typically, of secondary roads with significant scenic, cultural, historic, geological or natural features and including vistas, rest areas, and interpretive sites matching the scenic characteristics of the course."	turizm marşrutu
10890	ecomuseum	"A private, non-profit facility where plants and animals can be viewed in a natural outdoor setting."	ekomuzey
10891	folklore	"The traditional and common beliefs, practices and customs of a people, which are passed on as a shared way of life, often through oral traditions such as folktales, legends, anecdotes, proverbs, jokes and other forms of communication."	folklor
10892	public attendance	No definition needed.	ictimaiyyətin iştirakı
10893	tourist attendance	No definition needed.	turistlərin iştirakı
10895	country lodge	A small house or a hut located in the countryside.	"kənd evi, xutor"
10898	lodging	Provision of accommodation for rest or for residence in a room or rooms or in a dwelling place.	yaşama xidmətləri
10904	public	The community or people in general or a part or section of the community grouped because of a common interest or activity.	ictimaiyyət
10905	path	A route or track between one place to another.	yol
10906	seaside footpath	A route or track running along the coast.	sahilboyu piyada yolu
10907	educational path	"A guided trail, designed to explain to children a piece of countryside, the type of soil, flora, fauna, etc. Such trails may be self-guiding, using either explanatory notices set up at intervals or numbered boards referring to a printed leaflet: in other cases parties may be led by a demonstrator or warden."	tədris cığırı
10909	seaside resort	A place near the sea where people spend their holidays and enjoy themselves.	dəniz kurortu
10910	mountain resort	A place in the mountains where people spend their holidays and enjoy themselves.	dağ kurortu
10911	winter sports resort	"Resort where sports held in the open air on snow or ice, especially skiing are practiced."	xizək kurortu
10914	touristic unit	No definition needed.	turist obyekt
10915	all-terrain vehicle	"A land carriage so constructed that it can be used on any kind of road or rough terrain and can be operated for many purposes, such as carrying goods, transporting the injured, conveying passengers, etc."	"ofrod avtomobili, yolsuzluq avtomobili"
10918	population density	The number of people relative to the space occupied by them.	əhalinin sıxlığı
10919	young		gənclər
10922	active population	"The number of people available and eligible for employment within a given enterprise, region or nation."	iqtisadi fəal əhali
10925	time allocation	"The act of assigning various hours of one's day, week or year to particular activities, especially those falling within the categories of work and leisure."	vaxt bölgüsü
10927	durable goods	Goods which have a reasonably long life and which are not generally consumed in use: e.g. refrigerator.	uzunmüddətli istifadə malları
10929	non-durable goods	A good bought by consumers that tends to last for less than a year. Common examples are food and clothing. The notable thing about nondurable goods is that consumers tend to continue buying them regardless of the ups and downs of the business cycle.	qısamüddətli istifadə malları
10930	goods	"A term of variable content and meaning. It may include every species of personal chattels or property. Items of merchandise, supplies, raw materials, or finished goods. Land is excluded."	mallar
10931	goods and services	"The total of economic assets, including both physical or storable objects and intangible acts of human assistance."	mallar və xidmətlər
10932	time budget	"Determining or planning for allotment of time in hours, days, weeks, etc."	müvəqqəti resurs
10933	living environment	External conditions or surroundings in which people live or work.	həyat mühiti
10935	product life cycle	"A product life cycle includes the following phases: acquisition of raw materials, production, packaging, distribution, use, recyling, and disposal."	məhsulun həyat dövrü
10936	ecolabel	"A mark, seal or written identification attached or affixed to products that provides specific ecological information allowing consumers to make comparisons with other similar products, or instructions on how to safely use or properly recycle or dispose of both products and packaging."	"ekoetiket, ekoyarlıq"
10938	quality certification	"The formal assertion in writing that a commodity, service or other product has attained a recognized and relatively high grade or level of excellence."	keyfiyyət sertifikatı
10939	living standard	"A measurement of the development level in a country or community, gauged by factors such as personal income, education, life expectancy, food consumption, health care, technology and the use of natural resources."	həyat standartı
10940	supply and demand	"The relationship between the amount or quantity of a commodity that is available for purchase and the desire or ability of consumers to buy or purchase the commodity, which, in theory, determines the commodity's price in a free market."	tələb və təklif
10959	ecological inequality	"Any imbalance or disparity among inhabitants of the same living environment deemed inappropriate, unjust or detrimental to that environment's integrity."	ekoloji bərabərsizlik
10960	social inequality	"Unequal rewards or opportunities for different individuals within a group or groups within a society. If equality is judged in terms of legal equality, equality of opportunity, or equality of outcome, then inequality is a constant feature of the human condition."	sosial bərabərsizlik
10964	myth	"A traditional or legendary story, usually dealing with supernatural beings, ancestors, heroes or events, that is with or without determinable basis of fact or a natural explanation, but is used to explain some practice, rite or phenomenon of nature, or to justify the existence of a social institution."	mif
10968	NIMBY aptitude	"Not In My BackYard: phrase used to describe people who encourage the development of agriculture land for building houses or factories, provided it is not near where they themselves are living."	"""yalnız mənim evimdə (həyətimdə) olmasın"" prinsipi"
10971	social psychology	"Study of the effects of social structure on cognition and behavior, of processes of face-to-face interaction, and of the negotiation of social order."	sosial psixologiya
10972	social representation	"A system of values, ideas and practices established to orient individuals in their community and culture and to provide them with naming, classification and communication codes."	sosial meyarlar
10976	feeling for nature	"A consciousness, sensibility or sympathetic perception of the physical world and its scenery in their uncultivated state."	təbiətə məhəbbət
10977	socioeconomics	"Economic and social structure of communities, tax rates, characteristic types of development."	sosioiqtisadiyyat
10980	access to administrative documents	The legal right of access to administrative documents or the opportunity to avail oneself of the same.	inzibati sənədlərə çıxış
10981	administrative deed	Any formal and legitimate step taken or decision made on matters of policy by a chief or other top-level officer within an organization.	administrasiyanın hərəkəti
10985	territorial government	"An administrative body or system in which political direction or control is exercised over a designated area or an administrative division of a city, county or larger geographical area."	ərazi hökuməti
10986	decision making support		qərarların qəbul edilməsi prosesinə dəstək
10988	minister competence	"The skill, knowledge, qualification, capacity or authority associated with the chief of an administrative department or other high ranking official selected by the head of state."	nazirin səlahiyyəti
10991	citizen	"A native or naturalized member of a state or nation who owes allegiance, bears responsibilities and obtains rights, including protection, from the government."	vətəndaş
10992	local government	"An administrative body or system in which political direction and control is exercised over the community of a city, town or small district."	yerli hökumət
10993	territorial community	"An infrastructure, body of people or homogenous constituency that is physically situated in a localized exurban area."	ərazi üzrə icma 
10999	parliamentary debate	Formal discussion or dispute on a particular matter among the members of the parliament.	parlament müzakirələri
11007	motivation of administrative acts	"The underlying reason or cause, a psychological or social factor, that incites or stimulates managers, executives or supervisors to complete tasks that achieve organizational or company goals."	inzibati hərəkətlərin motivləri
11016	economic plan	"A design, scheme or project pertaining to the production, distribution and use of income, wealth and commodities."	iqtisadi plan
11018	subsidiary principle	"The fundamental doctrine or tenet that policy making decisions should be made at the most decentralized level, in which a centralized governing body would not take action unless it it is more effective than action taken at a lower government level."	bütün səviyyələrdə fikirlərin nəzərə alınması prinsipi
11030	financial aid	The transfer of funds from developed to underdeveloped countries.	maliyyə yardımı
11031	international assistance	"Economic, military, technical or financial aid or support given to nations or countries in need, often from other governments or international or intergovernmental organizations."	beynəlxalq yardım
11032	public aid	"Government aid in the form of monies or food stamps to the poor, disabled, aged or to dependent children."	dövlət yardımı
11034	national accounting	Organised method of recording all business transactions in the national economy.	milli mühasibat uçotunun yerli sistemi
11035	satellite account	A separate financial record or statement that discloses financial activity in a particular area and supplements existing financial records.	mühasibat uçota əlavələr
11038	household expenditure	Any spending done by a person living alone or by a group of people living together in shared accommodation and with common domestic expenses.	ailə büdcəsinin xərcləri
11039	public expenditure	"Spending by national or local government, government-owned firms or quasi-autonomous non-government organizations."	dövlət xərcləri
11043	intervention fund	Money or financial resources set aside to interpose or interfere in any business affair in order to affect an outcome.	gözlənilməz xərclər fondu
11044	financial fund	Monetary resources set aside for some purpose.	maliyyə fondu
11045	European Monetary Fund	Fund organized by the European Monetary System in which members of the European Community deposit reserves to provide a pool of resources to stabilize exchange rates and to finance balance of payments in support of the pending full European Monetary Union.	Avropa valyuta fondu
11046	International Monetary Fund	"An international organization established in 1944, affiliated with the United Nations that acts as an international bank facilitating the exchange of national currencies and providing loans to member nations. It also evaluates the performance of the economies of the world's countries."	beynəlxalq valyuta fondu
11047	economic incentive	"Rewards or penalties offered by government or management to induce an economic sector, company or group of workers to act in such a way as to produce results that plan objectives or policy goals."	iqtisadi stimul
11048	incentive tax		stimullaşdırıcı vergi
11050	gross domestic product	"The total output of goods and services produced by a national economy in a given period, usually a year, valued at market prices. It is gross, since no allowance is made, for the value of replacement capital goods."	ümumi daxili məhsul
11051	exceptional tax	Compulsory charges levied by a government unit in special or unique instances for the purpose of raising revenue to pay for services or improvements for the general public benefit.	müstəsna vergi
11055	process analysis		proseslərin təhlili
11057	audit	"The periodic or continuous verification of the accounts, assets and liabilities of a company or other organization, often to confirm compliance with legal and professional standards."	audit
11061	natural heritage assessment	"Evaluation of the natural structures, resources and landscapes to ensure their careful management and preservation."	təbii irsin qiymətləndirilməsi
11063	water cost	The value or the amount of money exchanged for the production and sustained supply of water.	suyun dəyəri
11065	ecomarketing	"The buying, selling, advertising, shipping, and storing of goods in compliance with ecological principles."	ekoloji ticarət
11069	patrimonial management	A type of leadership and management style attempting to gain the loyalty and support of subordinates by excessively providing for their needs and interests.	populizm
11070	pollution control investment	Securities held for the production of income in the form of interest and dividends with the aim of controlling or reducing pollution or substances in the environment deemed harmful to human health and natural resources.	çirklənməyə nəzarət üçün investisiyalar
11071	environment market		ətraf mühitin qorunması ilə bağlı mal və xidmətlər bazarı
11073	antipollution premium	A prize or bonus given as an inducement or reward for efforts to reduce the presence of pollution or substances in the environment deemed harmful to human health or natural resources.	çirklənmə səviyyəsinin azalmasına görə əlavə ödəniş
11082	water pricing	Applying a monetary rate or value at which water can be bought or sold.	suya qiymətlərin təyin edilməsi
11087	theory of the environment	"A structured simulation or explanation based on observation, experimentation and reasoning that seeks to demonstrate, characterize or explain the actions and interactions of the total surrounding conditions of a given system."	ətraf mühit nəzəriyyəsi
11089	trade activity		ticarət fəaliyyəti
11095	local development	A stage of growth or advancement in any aspect of a community that is defined by or restricted to a particular and usually small district or area.	regionların inkişafı
11097	market study	The gathering and studying of data to determine the projection of demand for an item or service.	bazarın öyrənilməsi
11100	free trade	"Trade which is unimpeded by tariffs, import and export quotas and other measures which obstruct the free movement of goods and services between states."	sərbəst ticarət
11103	less developed country	"One of the world's poorest nations, typically small in area and population, with low per capita incomes, literacy levels and medical standards, subsistence agriculture and a lack of exploitable minerals and competitive industries."	ən az inkişaf etmiş ölkə
11106	North-South relationship	"The connections, associations or involvement of developed nations, found predominantly in the Northern Hemisphere, with developing nations, found predominantly in the Southern Hemisphere."	Simal-Cənub münasibətləri
11113	calculation	"The act, process or result of calculating."	hesablama
11116	density	The mass of unit volume of a substance.	sixlıq
11118	spatial distribution	A distribution or set of geographic observations representing the values of behaviour of a particular phenomenon or characteristic across many locations on the surface of the Earth.	məkan bölgüsü
11119	economic data	No definition needed.	iqtisadi məlumatlar
11124	index	A list of record surrogates arranged in order of some attribute expressible in machine-orderable form.	siyahı
11125	census survey	"An official periodic count of a population including such information as sex, age, occupation, etc."	əhalinin siyahıya alınması
11127	statistical series	An ordered sequence of data samples in numerical form used to predict or demonstrate trends through time and space.	statistik toplu
11128	opinion survey	The canvassing of a representative sample of a large group of people on some question in order to determine the general opinion of a group.	rəy sorğusu
11130	rate	The amount of change in some quantity during a time interval divided by the length of the time interval.	surət
11133	seasonal variation	"In time series, that part of the movement which is assigned to the effect of the seasons on the year."	mövsümi dəyişikliklər
11134	scientific committee	An organized group of persons elected or appointed to discuss scientific matters.	elmi komitə
11135	scientific dispute	No definition needed.	elmi mübahisə
11146	applied research	Research directed toward using knowledge gained by basic research to make things or to create situations that will serve a practical or utilitarian purpose.	tətbiqi tədqiqatlar
11148	scientific research	Systematic investigation to establish facts or principles concerning a specific scientific subject.	elmi tədqiqat
11152	agronomy	"The principles and procedures of soil management and of field crop and special-purpose plant improvement, management, and production."	aqronomiya
11153	agrosystem	Ecosystem dominated by the continuous agricultural intervention of man.	aqrosistem
