code	 English terms	English definitions	Arabic translated terms 	Arabic translated definitions 				
11192	aviculture	"The raising, keeping, and care of birds."	تربية الطيور	تربية الطيور والاحتفاظ بها ورعايتها.				
11198	breeding technique	Term referring to the systems employed in animal rearing (extensive and intensive).	تقنية التربية	مصطلح يشير إلى النظم المستخدمة في تربية الحيوان (النظم الكثيفة والنظم الواسعة).				
11199	transhumance	The seasonal migration of livestock to suitable grazing grounds.	النُجعة - الانتجاع	الهجرة الموسمية للماشية إلى أراض رعوية أكثر مناسبة لها.				
11201	mineral conditioner	"Any naturally occurring inorganic substances with a definite chemical composition and usually of crystalline structure, such as rocks, which are used to stabilize soil, improving its resistance to erosion, texture and permeability."	مكيِّف معدني	"أي مادة عضوية تظهر بصورة طبيعية ولها تركيب كيميائي وعادة ما تكون ذات بنية بللورية، مثل الصخور، وتستخدم لتثبيت التربة وتحسين مقاومتها للتآكل وتكوينها ونفاذيتها للماء."				
11204	draining	"The removal of water from a marshy area by artificial means, e.g. the introduction of drains."	تجفيف	إزالة الماء من منطقة مستنقعات بالوسائل الصناعية مثل إدخال المجارير.				
11206	slash and burn culture	"A traditional farming system that has been used by generations of farmers in tropical forests and the savannah of north and east Africa. It is known to be an ecologically sound form of cultivation, and because the soil is poor in tropical rain forests it is a sustainable method of farming. It is still practised today, primarily in the developing countries. Small areas of bush or forests are cleared and the smaller trees burned. This unlocks the nutrients in the vegetation and gives the soil fertilizer that is easily taken up by plants. A few years later the soil is degraded and the farmer moves on to do the same at another site. The original ground is left fallow for anything up to 20 years so that the forest can regenerate. With the growth in population and in the subsequent need for more farming land to produce food, the method is increasingly being used today to clear large areas of tropical forests for cattle ranching, and in most cases the ground is not left fallow for long enough and, with modern mechanized farming systems, not enough tree stumps or suitable habitats for plant life are left to start the regeneration process."	زراعة القطع والحرق	"أسلوب للزراعة التقليدية يستخدمه المزارعون منذ أجيال عديدة في الغابات المدارية ومناطق السفانا في شمال وشرق أفريقيا. من المعروف أنه أسلوب زراعة سليم إيكولوجيا، ونظرا لأن التربة في الغابات المدارية المطيرة تربة فقيرة فإنه يعد أسلوبا مستداما للزراعة، ولا يزال يمارس حتى اليوم، أساسا في الدول النامية. وفيه يتم إزالة مساحات صغيرة من الحشائش أو الغابات وإحراق الأشجار الأصغر حجما، مما يطلق المغذيات في الغطاء النباتي ويعطي التربة مخصبا يسهل على النباتات امتصاصه. وبعد بضع سنوات تتدهور التربة فينتقل المزارعون للقيام بنفس الإجراء في مكان آخر، وتترك الأراضي الأصلية مراحة لمدة تصل إلى 20 عاما حتى تستعيد الغابة عافيتها. ومع تزايد السكان وما ترتب عليه من الحاجة إلى مزيد من الأراضي للزراعة لإنتاج الغذاء صار هذا الأسلوب يلتجأ إليه بصورة متزايدة اليوم لإزالة مساحات واسعة من الغابات المدارية من أجل تربية الماشية، وفي معظم الحالات لم تعد الأرض تترك مراحة لمدة كافية. ومع استخدام نظم الزراعة المميكنة لم يعد هناك ما يكفي من جذوع الأشجار أو المواطن المناسبة للحياة النباتية لبدء عملية تعافي التربة."				
11207	chalk	"A soft, pure, earthy, fine-textured, usually white to light gray or buff limestone of marine origin, consisting almost wholly (90-99%) of calcite, formed mainly by shallow-water accumulation of calcareous tests of floating microorganisms (chiefly foraminifers) and of comminuted remains of calcareous algae (such as cocoliths and rhabdoliths), set in a structureless matrix of very finely crystalline calcite. The rock is porous, somewhat friable, and only slightly coherent. It may include the remains of bottom-dwelling forms (e.g. ammonites, echinoderms, and pelecypods), and nodules of chert and pyrite. The best known and most widespread chalks are of Cretaceous age, such as those exposed in cliffs on both sides of the English Channel."	طباشير	"حجر جيري طري نقي ترابي ناعم الملمس لونه دائما أبيض إلى رمادي خفيف أو أصفر باهت، ذو أصل بحري يتألف كله تقريبا من الكالسيت (90-99%)، ويتكون أساسا من تراكمات في المياه الضحلة لأصداف الكائنات متناهية الصغر المحتوية على الكالسيوم، أو البقايا المختزلة للطحالب المحتوية على كربونات الكالسيوم، الواقعة داخل في طبقة من الكالسيت البللوري الناعم دون شكل محدد. قد يحتوي على بقايا بعض الأشكال القاعية (مثل الأمونيت وشوكيات الجلد وثنائيات الصدفة)، وعلى فتات من الشيرت والبيريت. أشهر وأكثر أنواع الطباشير انتشارا ترجع إلى العصر الكريتاسي (الطباشيري) مثل الطباشير الذي يظهر في الصخور القائمة على جانبي القنال الإنجليزي (المانش).  "				
11209	nitrogenous fertiliser	"Fertilizer materials, natural or synthesized, containing nitrogen available for fixation by vegetation, such as potassium nitrate or ammonium nitrate."	سماد نيتروجيني	"مواد تسميد طبيعية أو صناعية تحتوي على النيتروجين المتاح للتثبيت بواسطة الغطاء النباتي، مثل نترات البوتاسيوم أو نترات الأمونيوم."				
11211	phosphatic fertiliser	"Fertilizer compound or mixture containing available (soluble) phosphate; examples are phosphate rock (phosphorite), superphosphates or triple superphosphates, nitrophosphate, potassium phosphate, or N-P-K mixtures."	سماد فوسفاتي	مركب أو مزيج تسميد يحتوي على الفوسفات (الذائب) المتاح. من أمثلته الصخور الفوسفاتية والسوبرفوسفات  والسوبرفوسفات الثلاثي والنتروفوسفات وفوسفات البوتاسيوم ومزيج النيتروجين-الفوسفات-البوتاسيوم.				
11212	potassium fertiliser	"A chemical fertilizer containing potassium. Potassium (K) is required by all plant and animal life. Plants require potassium for photosynthesis, osmotic regulation and the activation of enzyme systems."	سماد البوتاسيوم	"سماد كيماوي يحتوي على البوتاسيوم، الذي يعد ضروريا لكل صور الحياة النباتية والحيوانية. فالنباتات تحتاج إليه للتمثيل الغذائي والتنظيم الأسموزي وتنشيط نظم الإنزيمات."				
11214	purification through the soil	"The act or process in which a section of the ground is freed from pollution or any type of contamination, often through natural processes."	التطهير بالتربة	فعل أو عملية تخليص جزء من التربة من التلوث أيا كان نوعه عىل طريق العمليات الطبيعية غالبا.				
11224	soil leaching	The removal of water or any soluble constituents from the soil. Leaching often occurs with soil constituents such as nitrate fertilizers with the result that nitrates end up in potable waters.	غسل التربة	إزالة الماء أو أي مكونات قابلة للذوبان من التربة. ويحدث الغسل دائما مع بعض مكونات التربة مثل أسمدة النترات مما يعني أن النترات ينتهي بها الامر إلى أن تصل لماء الشرب.				
11226	mineral matter	"Inorganic materials having a distinct chemical composition, characteristic crystalline structure, colour, and hardness."	مادة معدنية	مواد غير عضوية لها تركيب كميائي خاص وبنية بللورية ولون وصلابة مميزة. 				
11227	organic matter	Plant and animal residue that decomposes and becomes a part of the soil.	مادة عضوية	بقايا نباتية وحيوانية تحللت وأصبحت جزءا من التربة.				
11231	drainage system	"A surface stream, or a body of impounded surface water, together with all other such streams and water bodies that are tributary to it and by which a region is drained. An artificial drainage system includes also surface and subsurface conduits."	نظام صرف	مجرى مائي سطحي أو كيان مائي محصور مع كافة المجاري والكيانات المائية  الأخرى التي تعد روافد له أو التي تصرف مياه منطقة معينة. ويتضمن نظام الصرف الصناعي قنوات سطحية وجوفية أيضا.				
11232	irrigation system	A system of man-made channels for supplying water to land to allow plants to grow.	نظام ري	نظام من القنوات من صنع الإنسان لإمداد الماء للأرض للسماح بنمو النباتات.				
11233	soil salinity	"Measurement of the quantity of mineral salts found in a soil. Many semi-arid and arid areas are naturally salty. By definition they are areas of substantial water deficit where evapotranspiration exceeds precipitation. Thus, whereas in humid areas there is sufficient water to percolate through the soil and to leach soluble materials from the soil and the rocks into the rivers and hence into the sea, in deserts this is not the case. Salts therefore tend to accumulate."	ملوحة التربة	"قياس كمية الأملاح المعدنية الموجودة في التربة. كثير من المناطق الجافة وشبه الجافة ملحة بطبيعتها. وطبقا للتعريف، فإنها مناطق عجز مائي شديد حيث يتجاوز النتح التبخري معدل الهطول. وهكذا بينما تتسم المناطق الرطبة بكميات كافية من الماء لتخلل التربة وغسل المواد القابلة للذوبان من التربة والصخر لتحمل إلى الأنهار ومن ثم إلى البحر فإن هذا غير وارد في الصحراء، ولذاك تميل الأملاح إلى التراكم. "				
11234	agronomic value	The monetary or material worth at which buyers and sellers agree to do business for agricultural goods and services.	القيمة الزراعية	القيمة النقدية أو المالية التي يتفق عليها البائع والمشتري لإجراء المعاملات الخاصة بالسلع والخدمات الزراعية.				
11237	mountain management		إدارة الجبال					
11243	rural management and planning	"The activity or process of overseeing and preparing for the future physical arrangement and condition of any agricultural or pastoral area, which may involve protecting and developing natural and human resources that affect an area's economic vitality."	الإدارة والتخطيط الريفيين	"نشاط وعملية الإشراف والإعداد للترتيب والظروف الفيزيائية المستقبلية لأي منطقة زراعية أو رعوية، والذي قد يشتمل على حماية وتطوير الموارد الطبيعية والبشرية التي تؤثر على الحيوية الاقتصادية للمنطقة."				
11244	touristic activity management	"The administration, promotion, organization and planning for the business or industry of providing information, transportation, entertainment, accommodations and other services to travelers or visitors."	إدارة النشاط السياحي	الإدارة والترويج والتنظيم والتخطيط لنشاط أو صناعة توفير المعلومات والنقل والترفيه والإقامة وغير ذلك من الخدمات للمسافرين والزوار.				
11246	forestry unit	"Any entity or group of individuals involved with the creation, management and conservation of an extensive area of woodland, often to produce products and benefits such as timber, clean water, biodiversity and recreation."	وحدة غابات	"أي كيان أو مجموعة من الأفراد المنخرطين في إنشاء وإدارة والحفاظ على مساحة واسعة من المناطق المشجرة، وذلك غالبا لإنتاج منتجات ومنافع مثل الأخشاب والمياه النظيفة والتنوع الحيوي والترفيه. "				
11248	equipment plan	"A formulated or systematic method for the supply of material necessities such as tools, gear, provisions or furnishings."	خطة التجهيز	أسلوب منهجي منظم للإمداد بالمتطلبات المادية مثل الأدوات أو المعدات أو التوريدات أو تركيبات الأثاث.				
11259	approach	The way or means of entry or access.	مقاربة - أسلوب					
11269	railway station	"A place along a route or line at which a train stops to pick up or let off passengers or goods, especially with ancillary buildings and services."	محطة سكك حديدية	مكان على طريق أو خط حيث تتوقف القطارات لأخذ وإنزال المسافرين أو البضائع وخاصة الأماكن ذات المباني والخدمات المصاحبة.				
11270	bus station	"A place along a route or line at which a bus stops for fuel or to pick up or let off passengers or goods, especially with ancillary buildings and services."	محطة حافلات	مكان على طريق أو خط حيث تتوقف الحافلات اللتزود بالوقود وأخذ وإنزال المسافرين أو البضائع وخاصة الأماكن ذات المباني والخدمات المصاحبة.				
11271	road construction material	"The aggregation of components used for building streets, highways and other routes, such as asphalt, concrete, brick, sand and gravel."	مواد بناء الطرق	مجموع المكونات المستخدمة في بناء الشوارع والطرق السريعة وغيرها من الطرق مثل الأسفلت والخرسانة والطوب والرمل والحى.				
11272	engineering work	No definition needed.	أعمال هندسية	لا يحتاج إلى تعريف.				
11276	railway network	The whole system of railway distribution in a country.	شبكة سكك حديدية	المنظومة الكاملة لتوزيع السكك الحديدية في بلد ما.				
11277	road network	The system of roads through a country.	شبكة طرق	نظا الطرق خلال البلد.				
11289	navigation	"The science or art of conducting ships or aircraft from one place to another, esp. the method of determining position, course, and distance travelled over the surface of the earth by the principles of geometry and astronomy and by reference to devices (as radar beacons or instruments) designed as aids."	ملاحة	"علم أو فن تسيير السفن والطائرات من مكان لآخر، وخاصة أسلوب تحديد الموقع والمسار والمسافة التي تم قطعها على سطح الأرض عن طريق مبادئ الهندسة والفلك وبالاستعانة بالأجهزة (كأجهزة أو أبراج الرادار) المصممة كأدوات مساعدة."				
11294	merchant shipping	Transportation of persons and goods by means of ships travelling along fixed navigation routes.	النقل البحري التجاري	نقل الناس والبضائع بواسطة السفن التي تبحر عبر طرق ملاحية ثابتة.				
11296	combined transport	"Transport in which more than one carrier is used, e.g. road, rail and sea."	نقل مختلط الوسائل	"النقل الذي تستخدم فيه أكثر من طريقة، مثل النقل برا وبحرا والسكك الحديدية."				
11307	urban community	Body of people living in a town or city.	مجتمع حضري	مجموعة من الناس يعيشون في بلدة أو مدينة.				
11308	urban development document	"A written or printed text furnishing proposals or procedures for the improvement of living conditions, especially housing, for the inhabitants of a city or densely populated area."	وثيقة تنمية حضرية	"نص مكتوب أو مطبوع يقدم مقترحات أو إجراءات لتحسين ظروف المعيشة، خاصة الإسكان، لقاطني مدينة أو منطقة كثيفة السكان."				
11309	periurban space	Any expanse of land or region located on the outskirts of a city or town.	مساحة على حافة الحضر	أي امتداد للأرض أو منطقة تقع على مشارف مدينة أو بلدة.				
11312	single family dwelling	An unattached dwelling unit inhabited by an adult person plus one or more related persons.	مسكن لأسرة واحدة	وحدة سكنية منفصلة يقطنها فرد بالغ مع واحد أو أكثر من أهله.				
11321	land use plan	"The key element of a comprehensive plan; describes the recommended location and intensity of development for public and private land uses, such as residential, commercial, industrial, recreational and agricultural."	خطة استخدام الأرض	"العنصر الأسي في الخطة الشاملة، ويصف الموقع الموصى به وكثافة التنمية المقترحة بالنسبة لاستخدامات الأراضي العامة والخاصة كالاستخدامات السكنية والتجارية والصناعية والترفيهية."				
11322	urban planning and development	"The activity or process of preparing for the future arrangement and condition of an urban center, particularly the development of its physical lay-out, which would include the construction, reconstruction, conversion, alteration or enlargement of buildings and other structures, and the extension or use of undeveloped land."	التخطيط والتنمية الحضريين	"نشاط أو عملية الإعداد للترتيبات والأوضاع المستقبلية لمركز حضري، خاصة وضع مخططه الفيزيائي الذي يمكن أن يتضمن البناء وإعادة البناء والتحويل وتعديل أو توسيع المباني وغيرها من الإنشاءات وتوسيع أو استخدام الأراضي غير المستغلة."				
11323	land use regime	Relation existing between the landowner and the tenant farmer who cultivates the land.	نظام استغلال الأرض	العلاقة القائمة بين المالك والمزارع المستأجر الذي يزرع الأرض.				
11332	new town	"Any of several recent urban developments that constitute small and essentially self-sufficient cities with a planned ordering of residential, industrial, and commercial development."	بلدة جديدة	أي عملية من عمليات التطوير الحضرية الحديثة الكثيرة التي تمثل مدنا صغيرة ومكتفية بذاتها أساسا مع تخطيط منظم للتطوير السكني والصناعي والتجاري فيها.				
11333	pre-emption zone	"Areas that are subject to the pre-emption right which is a privilege accorded by the government to the actual settler upon a certain limited portion of the public domain, to purchase such tract at a fixed price to the exclusion of all other applicants."	منطقة شُفعة	"مساحات خاضعة لحق الشفعة وهو ميزة تعطيها الحكومة لمن يستقر فعلا في بقعة معينة محدودة من النطاق العام، بحيث يستطيع أن يشتري هذه الأرض بسعر ثابت مع استبعاد كل المتقدمين الآخرين للشراء."				
11334	land-management intervention area	Any expanse of land which requires a person or agency with authority to interpose or interfere in how it is used or administrated.	منطقة تدخل في إدارة الأرض	مساحة فسيحة من الأض تحتاج لوجود صاحب سلكة أو وكالة لها سلطة للتدخل أو التصدي لكيفية استخدامها أو إدارتها.				
11344	rural architecture	No definition needed.	عمارة ريفية	لا يحتاج إلى تعريف.				
11345	traditional architecture	No definition needed.	عمارة تقليدية	لا يحتاج إلى تعريف.				
11355	building destruction	The tearing down of buildings by mechanical means.	تدمير مبنى	هدم المباني بالوسائل الميكانيكية.				
11359	municipal engineering	Branch of engineering dealing with the form and functions of urban areas.	الهندسة البلدية	فرع من الهندسة يتناول شكل ووظائف المناطق الحضرية.				
11375	building restoration	"The accurate reestablishment of the form and details of a building, its artifacts, and the site on which it is located, usually as it appeared at a particular time."	ترميم مبنى	"إعادة إنشاء مبنى بشكله وتفاصيله وأعماله الفنية والموقع الذي يقع فيه بدقة، وخاصة كما كان يبدو في وقت معين. "				
11427	statutory declaration	"A declaration made in a prescribed form before a justice of the peace, notary public, or other person authorized to administer an oath."	إقرار قانوني	إعلان بصيغة منصوص عليها أمام قاض أو وكيل شهر عقاري أو غيره ممن لهم صلاحية توثيق اليمين. 				
11429	quality standard		معيار الجودة					
11430	European standard	A standard which has been approved pursuant to the statutes of the standards bodies with which the Community has concluded agreements.	معيار أوروبي	معيار تمت الموافقة عليه وفقا  لمجموعة اللوائح والقوانين التي أبرمت بها الجماعة الأوروبية اتفاقياتها.				
11431	ISO standard	"Documented agreements containing technical specifications or other precise criteria to be used consistently as rules, guidelines, or definitions of characteristics, to ensure that materials, products, processes and services are fit for their purpose."	معايير الأيزو	اتفاقيات موثقة تشتمل على المواصفات الفنية وغيرها من المعايير الدقيقة اللازمة للرجوع إليها بصورة دائمة كقواعد أو توجيهات إرشادية أو تعريفات أو سمات لضمان ملاءمة المواد والمنتجات والعمليات والخدمات لأغراضها. 				
11433	technical regulation	"A government or management prescribed rule that provides detailed or stringent requirements, either directly or by referring to or incorporating the content of a standard, technical specification or code of practice."	تنظيم تقني	قاعدة تضعها حكومة أو إدارة تنص على متطلبات تفصيلية أو صارمة إما بصورة مباشرة وإما بالإشارة إلى أو بإدراج محتوى معيار أو مواصفات فنية أو مدونة للممارسات.				
11466	codification	"The process of collecting and arranging systematically, usually by subject, the laws of a state or country, or the rules and regulations covering a particular area or subject of law or practice."	تكويد	"عملية جمع وترتيب قوانين ولاية أو دولة بطريقة منهجية، عادة حسب الموضوع، أو القواعد والتنظيمات التي تغطي مجالا أو موضوعا معينا من مجالات وموضوعات القانون أو الممارسات."				
11468	doctrine (law)	"A rule, principle, theory, or tenet of the law, as the doctrine of merger, the doctrine of relation, etc."	عقيدة (قانون)	"قاعدة أو مبدأ أو نظرية أو سمة قانونية مثل قانون الدمج أو قانون العلاقة، إلخ."				
11472	transport law	"Rules concerning the movement of goods or persons by sea, railway or road."	قانون النقل	القواعد المتعلقة بحركة البضائع والأشخاص بحرا أو برا أو بالسكك الحديدية.				
11476	rural law	"A binding rule or body of rules prescribed by a government pertaining to matters of importance to residents of sparsely populated regions, especially agricultural and other economic issues."	القانون الريفي	"قاعدة ملزمة أو مجموعة ملزمة من القواعد التي تضعها الحكومة فيما يتعلق بالشئون المهمة لقاطني المناطق قليلة السكان، وخاصة الموضوعات الزراعية وغيرها من الأمور الاقتصادية."				
11477	animal rights	"Just claims, legal guarantees or moral principles accorded to sentient, non-human species, including freedom from abuse, consumption, experimentation, use as clothing or performing for human entertainment."	حقوق الحيوان	"دعاوى عادلة أو ضمانات قانونية أو مبادئ أخلاقية من أجل الأنواع الواعية من المخلوقات غير الإنسان، مثل التحرر من الانتهاك والاستهلاك والتجريب والاستخدام كملبس أو في الاستعراضات للترفيه عن الإنسان."				
11478	rights of future generations	"The moral, legal or ethical claims of posterity on present people, based on the recognition that the young and unborn are vulnerable to contemporary decision-making, especially decisions having long-term effect on the societies and environment they inherit."	حقوق الأجيال القادمة	"الحقوق الأخلاقية والقانونية للخلف على الأجيال الحالية من البشر على أساس الإقرار بأن الصغار ومن لم يولدوا بعد لا حول لهم ولا قوة أمام القرارات التي تتخذ حاليا، خصوصا القرارات التي لها تأثير طويل الأجل على المجتمعات والبيئة التي سيرثونها."				
11479	citizen rights	"Rights recognized and protected by law, pertaining to the members of a state."	حقوق المواطن	الحقوق التي يقر بها القانون ويحميها فيما يتعلق بأعضاء الدولة.				
11489	notice	"Factual information, advice or a written warning communicated to a person by an authorized source, often conveyed because of a legal or administrative rule requiring transmission of such information to all concerned parties."	إخطار - إشعار	"معلومات عن حقائق أو نصيحة أو إنذار كتابي يتم توصيله إلى شخص ما عن طريق مصدر مخول هذه الصلاحية، ذلك غالبا على خلفية قاعدة قانونية أو إدارية تنص على ضرورة تقديم مثل هذه المعلومات لجميع الأطراف المعنية."				
11490	circular mail	"A memorandum, letter or notice in either paper or electronic format distributed widely throughout an organization or to a general list of interested parties."	رسالة إلى قائمة المراسلة	مذكرة أو خطاب أو ملحوظة في صورة مكتوبة أو إلكترونية توزع على نطاق واسع عبر منظمة أو على قائمة عامة من الأطراف المعنية.				
11493	Community ruling		حكم المجتمع					
11494	order	"1) A direction or command of a court. In this sense it is often used synonymously with judgment. 
2) The document bearing the seal of the court recording its judgment in a case."	قرار	توجيه أو أمر صادر عن محكمة. وفي هذه الحالة يستخدم كمرادف للحكم. 2) وثيقة تحمل ختم المحكمة تسجل حكمها في قضية معينة.				
11497	administrative instructions	"Education in the theories and practices of managing an office, business or organization."	تربية إدارية- تعليم إداري	التعليم المتعلق بنظريات وممارسات إدارة المكاتب أو المشروعات التجارية أو المنظمات.				
11498	technical instruction	"The education, instruction, or discipline pertaining to or connected with the mechanical or industrial arts and the applied sciences."	تعليم فني - تعليم تقني	التعليم أو التوجيه أو التخصص المتعلق بالفنون الميكانيكية والصناعية والعلوم التطبيقية أو المرتبط بها.				
11499	law (corpus of rules)	"A body of rules of action or conduct prescribed by controlling authority, and having binding legal force."	القانون (مجموع القواعد)	"مجموعة من قواعد العمل أو السلوك التي تضعها سلطة حاكمة، والتي لها قوة الإلزام القانوني."				
11502	hunting licence	"Official permission granted to individuals or commercial enterprises allowing and regulating by time, location, species, size or amount the wild animals or game that can be killed and taken from lands within a particular jurisdiction."	رخصة قنص (صيد)	"إذن رسمي يمنح للأفراد أو المشروعات التجارية يسمح وينظم كل ما يتصل بالحيوانات البرية والطرائد التي يمكن قتلها وأخذها من الأراضي التي تندرج تحت سلطة معينة، من حيث الفترة الزمنية للصيد ومكانه ونوع الطرائد وحجمها وكميتها."				
11504	building permit	Authorization required by local governmental bodies for the erection of an enclosed structure or for the major alteration or expansion of an existing edifice.	تصريح بناء - ترخيص بناء	تصريح مطلوب من جهات حكومية محلية لإقامة بناء مغلق أو لإجراء تعديلات أو توسيعات كبيرة في بناء قائم.				
11506	fishing licence	"Official permission granted to individuals or commercial enterprises allowing and regulating by time, location, species, size or amount the fish that can be caught from rivers, lakes or ocean waters within a particular jurisdiction."	رخصة صيد	"إذن رسمي يمنح للأفراد أو المشروعات التجارية يسمح وينظم كل ما يتصل بالأسماك التي يمكن صيدها من مياه الأنهار أو البحيرات أو المحيطات التي تندرج تحت سلطة معينة، من حيث الفترة الزمنية للصيد ومكانه ونوع الأسماك وحجمها وكميتها."				
11508	law draft	"The form in which proposed statutes, resolutions or special acts are introduced into a legislative body, before they are enacted or passed."	مسودة قانون	الشكل الذي تقدم به مقترحات اللوائح أو القرارات أو القوانين الخاصة إلى جهاز تشريعي قبل تحويلها لقوانين أو تمريرها.				
11514	regulation	The act of regulating; a rule or order prescribed for management or government; a regulating principle; a precept. Rule of order prescribed by superior or competent authority relating to action on those under its control.	تنظيم	فعل التنظيم. قاعدة أو قرار منصوص عليه للإدارة أو الحكم. مبدأ تنظيمي. مفهوم. قاعدة نظام يضعها من هو في مركز أعلى أو تضعها سلطة مختصة فيما يتعلق بالعمل أو بمن يخضعون لسيطرتها.				
11517	transposition of directive		توجيه بديل					
11521	concession	"Any rebate, abatement, voluntary grant of or a yielding to a demand or claim, typically made by a government or controlling authority to an individual or organization."	موافقة	"أي تخفيض أو تخفيف أو منحة طوعية أو قبول طلب أو دعوى، وعادة ما تصدرها  الحكومة أو السلطة المسيطرة لفرد أو منظمة. "				
11522	public discussion	"Consideration, commentary by argument or informal debate on some issue that is open and of concern to the general populace."	مناقشة عامة	الدراسة والتعليق من خلال الجدل أو النقاش غير الرسمي حول موضوع مفتوح ومهم للعامة.				
11523	declaration of public utility	Administrative Act giving the right to take private property for public use.	إعلان منفعة عامة	قرار إداري يعطي الحق في أخذ ممتلكات خاصة من أجل الاستخدام العام. 				
11524	private domain	"Generally, land and water owned by individuals or corporations as opposed to the state; in French civil law, any government property capable of being owned by non-public entities, which cannot be seized and which is restricted to the stipulated ownership and use."	المجال الخاص	"المجال الخاص عموما هو الأرض والمياه المملوكة للأفراد أو الشركات في مقابل الدولة. وفي القانون المدني الفرنسي، يعني أي ممتلكات حكومية يمكن أن تتملكها كيانات غير عامة، ولا يمكن مصادرتها وتقتصر على الملكية والاستخدام المصرح به فقط."				
11525	public waterways domain	"Rivers, canals and lakes owned by the state as opposed to individuals or corporations."	مجال مجاري مائية عامة	الأنهار والقنوات والبحيرات التي تملكها الدولة في مقابل الأفراد أو الشركات.				
11526	public maritime domain	eas or ocean areas owned by the state as opposed to individuals or corporations.	مجال بحري عام	مساحات البحار أو المحيطات التي تملكها الدولة في مقابل اأفرا والشركات.				
11527	right of access		حق النفاذ					
11530	public benefit inquiry	"An investigation, especially a formal one conducted into a matter of public utility by a body constituted for that purpose by a government, local authority, or other organization."	تحقيق في مصلحة عامة	"إجراء تحقيق، خصوصا التحقيقات الرسمية، في مسألة تتعلق بمصلحة عامة من جانب جهة مشكلة لهذا الغرض من جانب الحكومة أو السلطة المحلية أو غيرها من المؤسسات."				
11531	public inquiry	"An investigation, especially a formal one conducted into a matter of public utility by a body constituted for that purpose by a government, local authority, or other organization."	تحقيق عام	"إجراء تحقيق، خصوصا التحقيقات الرسمية، في مسألة تتعلق بمصلحة عامة من جانب جهة مشكلة لهذا الغرض من جانب الحكومة أو السلطة المحلية أو غيرها من المؤسسات."				
11532	delegated management	"The process of assigning or transferring authority, decision making or a specific administrative function from one entity to another."	تخويل الإدارة للمستويات الأدنى	عملية إسناد أو نقل السلطة أو صنع القرار أو القيام بوظيفة إدارية معينة من كيان لآخر.				
11535	state control	"The power or authority of a government to regulate or command industry, organizations, programs, initiatives and individuals."	رقابة الدولة - سيطرة الدولة	قدرة أو سلطة الحكومة على الرقابة على صناعة ما أو على المنظمات أو البرامج أو المبادرات أو الأفراد أو توجيه الأوامر لهم.				
11536	easement	The rights of use over the property of another; a burden on a piece of land causing the owner to suffer access by another.	الارتفاق	حق استخدام أملاك الآخرين. العبء الواقع على قطعة من ألأرض والذي يجعل المالك يذعن لنفاذ آخر من خلالها.				
11540	crime	"Any act done in violation of those duties which an individual owes to the community, and for the breach of which the law has provided that the offender shall make satisfaction to the public."	جريمة	فعل يتم خرقا للواجبات التي يدين بها الفرد للمجتمع والتي ينص القانون على أن يعوض مخالفها الحق العام عنها. 				
11548	police power		سلطة الشرطة					
11549	criminal law procedure	"The rules of law governing the procedure by which crimes are investigated, prosecuted, adjudicated, and punish."	إجراءات جنائية	القواعد القانونية التي تحكم إجراءات التحقيق في الجرائم وإحالتها إلى القضاء ومحاكمتها والمعاقبة عليها.				
11556	judgement (sentence)	"The official and authentic decision of a court of justice upon the respective rights and claims of the parties to an action or suit therein litigated and submitted to its determination. The final decision of the court resolving the dispute and determining the rights and obligations of the parties. The law's last word in a judicial controversy, it being the final determination by a court of the rights of the parties upon matters submitted to it in an action or proceeding."	حُكم (قضائي)	قرار رسمي وأصلي صادر عن محكمة بشأن الحقوق والدعاوى الخاصة بكل طرف من أطراف قضية مرفوعة أمامها للفصل فيها. القرارالنهائي للمحكمة الذي يحل النزاع ويحدد حقوق الأطراف والتزاماتهم. الكلمة الأخيرة للقانون في جدل قضائي لكونه الحكم النهائي للمحكمة بشأن حقوق الأطراف في الأمور المرفوعة إليها في قضية أو إجراء. 				
11559	conflict	"A state of opposition or disagreement between ideas, interests, etc."	نزاع	"حالة التعارض أو عدم التوافق بين الأفكار أو المصالح، إلخ."				
11563	litigation	"A judicial contest, a judicial controversy, a suit at law."	التقاضي	نزاع قضائي أو جدل قضائي أو دعوى قانونية.				
11568	administrative court (administration)	"An independent, specialized judicial tribunal in which judges or officials are authorized by a government agency to conduct hearings and render decisions in proceedings between the government agency and the persons, businesses or other organizations that it regulates."	المحكمة الإدارية	هيئة قضائية متخصصة مستقلة يكلف قضاتها أو مسؤولوها من جانب وكالة حكومية بعقد جلسات استماع وإصدار القرارات في الدعاوى القضائية بين الوكالات الحكومية والأشخاص أو الشركات أو غيرها من المنظمات التي تراقب عليها.				
